2026-03-16 15:32:28 | INFO | EtlWorkerService | [DataLoader] Archivos temporales generados: 7
2026-03-16 15:32:39 | INFO | EtlWorkerService | [DataLoader] 5000 filas cargadas en dbo.StgCsvExtract.
2026-03-16 15:32:43 | INFO | EtlWorkerService | [DataLoader] 2000 filas cargadas en dbo.StgCsvExtract.
2026-03-16 15:34:04 | INFO | EtlWorkerService | [DataLoader] 20000 filas cargadas en dbo.StgCsvExtract.
2026-03-16 15:36:01 | INFO | EtlWorkerService | [DataLoader] 60161 filas cargadas en dbo.StgCsvExtract.
2026-03-16 15:37:17 | INFO | EtlWorkerService | [DataLoader] 20000 filas cargadas en dbo.StgDbExtract.
2026-03-16 15:37:50 | INFO | EtlWorkerService | [DataLoader] 5000 filas cargadas en dbo.StgDbExtract.
2026-03-16 15:37:53 | INFO | EtlWorkerService | [DataLoader] 500 filas cargadas en dbo.StgApiExtract.
2026-03-16 15:37:53 | INFO | EtlWorkerService | [DataLoader] Metricas de auditoria guardadas: 7
2026-03-16 15:37:53 | INFO | EtlWorkerService | Datasets extraidos: 7
2026-03-16 15:37:53 | INFO | EtlWorkerService | Total de filas extraidas: 112661
2026-03-16 15:37:53 | INFO | EtlWorkerService | Errores detectados: 0
2026-03-16 15:37:53 | INFO | EtlWorkerService | === Fin Worker ETL (batch=a16d7470-c6fe-406c-824a-0b9c3a9a44b2) ===
2026-03-16 15:47:36 | INFO | EtlWorkerService | Configuracion cargada desde C:\Users\kalco\OneDrive\Documents\Electiva 1 y 2\ProcesoEtl\config\settings.json
2026-03-16 15:47:36 | INFO | EtlWorkerService | Base de datos objetivo: ProcesoETLDB
2026-03-16 15:47:36 | INFO | EtlWorkerService | === Inicio Worker ETL (batch=99535238-9c96-45e6-b289-d261f63720e0) ===
2026-03-16 15:47:38 | INFO | EtlWorkerService | [SQL] Lotes ejecutados: 10/28
2026-03-16 15:47:38 | INFO | EtlWorkerService | [SQL] Lotes ejecutados: 20/28
2026-03-16 15:47:39 | INFO | EtlWorkerService | [SQL] Esquema aplicado correctamente en la base ProcesoETLDB.
2026-03-16 15:47:41 | INFO | EtlWorkerService | [DataLoader] Tablas staging y auditoria limpiadas.
2026-03-16 15:47:41 | INFO | EtlWorkerService | [CsvExtractor] Archivo customers.csv extraido con 5000 filas.
2026-03-16 15:47:41 | INFO | EtlWorkerService | [CsvExtractor] Archivo products.csv extraido con 2000 filas.
2026-03-16 15:47:41 | INFO | EtlWorkerService | [CsvExtractor] Archivo orders.csv extraido con 20000 filas.
2026-03-16 15:47:41 | INFO | EtlWorkerService | [CsvExtractor] Archivo order_details.csv extraido con 60161 filas.
2026-03-16 15:47:42 | INFO | EtlWorkerService | [ApiExtractor] Endpoint /comments extrajo 500 filas.
2026-03-16 15:48:18 | INFO | EtlWorkerService | [DatabaseExtractor] Query orders_overview extrajo 20000 filas.
2026-03-16 15:48:18 | INFO | EtlWorkerService | [DatabaseExtractor] Query customer_activity extrajo 5000 filas.
2026-03-16 15:48:19 | INFO | EtlWorkerService | [DataLoader] Archivos temporales generados: 7
2026-03-16 15:48:20 | INFO | EtlWorkerService | [DataLoader] 5000 filas cargadas en dbo.StgCsvExtract.
2026-03-16 15:48:20 | INFO | EtlWorkerService | [DataLoader] 2000 filas cargadas en dbo.StgCsvExtract.
2026-03-16 15:48:22 | INFO | EtlWorkerService | [DataLoader] 20000 filas cargadas en dbo.StgCsvExtract.
2026-03-16 15:48:28 | INFO | EtlWorkerService | [DataLoader] 60161 filas cargadas en dbo.StgCsvExtract.
2026-03-16 15:48:29 | INFO | EtlWorkerService | [DataLoader] 20000 filas cargadas en dbo.StgDbExtract.
2026-03-16 15:48:30 | INFO | EtlWorkerService | [DataLoader] 5000 filas cargadas en dbo.StgDbExtract.
2026-03-16 15:48:30 | INFO | EtlWorkerService | [DataLoader] 500 filas cargadas en dbo.StgApiExtract.
2026-03-16 15:48:30 | INFO | EtlWorkerService | [DataLoader] Metricas de auditoria guardadas: 7
2026-03-16 15:48:30 | INFO | EtlWorkerService | Datasets extraidos: 7
2026-03-16 15:48:30 | INFO | EtlWorkerService | Total de filas extraidas: 112661
2026-03-16 15:48:30 | INFO | EtlWorkerService | Errores detectados: 0
2026-03-16 15:48:30 | INFO | EtlWorkerService | === Fin Worker ETL (batch=99535238-9c96-45e6-b289-d261f63720e0) ===
2026-03-16 16:05:05 | INFO | EtlWorkerService | Configuracion cargada desde C:\Users\kalco\OneDrive\Documents\Electiva 1 y 2\ProcesoEtl\config\settings.json
2026-03-16 16:05:05 | INFO | EtlWorkerService | Base de datos objetivo: ProcesoETLDB
2026-03-16 16:05:05 | INFO | EtlWorkerService | === Inicio Worker ETL (batch=fc652c18-fdf6-41f5-9d1c-d1e9ad4de240) ===
2026-03-16 16:05:06 | INFO | EtlWorkerService | [SQL] Lotes ejecutados: 10/28
2026-03-16 16:05:07 | INFO | EtlWorkerService | [SQL] Lotes ejecutados: 20/28
2026-03-16 16:05:07 | INFO | EtlWorkerService | [SQL] Esquema aplicado correctamente en la base ProcesoETLDB.
2026-03-16 16:05:09 | INFO | EtlWorkerService | [DataLoader] Tablas staging y auditoria limpiadas.
2026-03-16 16:05:09 | INFO | EtlWorkerService | [CsvExtractor] Archivo customers.csv extraido con 5000 filas.
2026-03-16 16:05:09 | INFO | EtlWorkerService | [CsvExtractor] Archivo products.csv extraido con 2000 filas.
2026-03-16 16:05:09 | INFO | EtlWorkerService | [CsvExtractor] Archivo orders.csv extraido con 20000 filas.
